taif	taif.n.01
united_arab_emirates	united_arab_emirates.n.01
abu_dhabi	abu_dhabi.n.01
dubai	dubai.n.01
yemen	yemen.n.01
aden	aden.n.01
hodeida	hodeida.n.01
mukalla	mukalla.n.01
sana	sana.n.01
argun	argun.n.01
asia_minor	asia_minor.n.01
aeolis	aeolis.n.01
lesbos	lesbos.n.01
bithynia	bithynia.n.01
nicaea	nicaea.n.01
cappadocia	cappadocia.n.01
ephesus	ephesus.n.01
galatia	galatia.n.01
ionia	ionia.n.01
lycia	lycia.n.01
lydia	lydia.n.01
phrygia	phrygia.n.01
colossae	colossae.n.01
pontus	pontus.n.02
troy	troy.n.02
turkey	turkey.n.02
abydos	abydos.n.01
adana	adana.n.01
aegospotami	aegospotami.n.01
ankara	ankara.n.01
antalya	antalya.n.01
antioch	antioch.n.01
ararat	ararat.n.01
aras	aras.n.01
bosporus	bosporus.n.01
bursa	bursa.n.01
dardanelles	dardanelles.n.01
edirne	edirne.n.01
euphrates	euphrates.n.01
halicarnassus	halicarnassus.n.01
istanbul	istanbul.n.01
bosporus_bridge	bosporus_bridge.n.01
chalcedon	chalcedon.n.01
hagia_sophia	hagia_sophia.n.01
izmir	izmir.n.01
kurdistan	kurdistan.n.01
iraqi_kurdistan	iraqi_kurdistan.n.01
kurd	kurd.n.01
pergamum	pergamum.n.01
sardis	sardis.n.01
seyhan	seyhan.n.01
tigris	tigris.n.01
asian_country	asian_country.n.01
asian_russia	asian_russia.n.01
bahrain	bahrain.n.02
manama	manama.n.01
bangladesh	bangladesh.n.01
brahmaputra	brahmaputra.n.01
chittagong	chittagong.n.01
dhaka	dhaka.n.01
ganges	ganges.n.01
bhutan	bhutan.n.01
china	china.n.01
amur	amur.n.01
beijing	beijing.n.01
forbidden_city	forbidden_city.n.02
bo_hai	bo_hai.n.01
brahmaputra	brahmaputra.n.01
chang_jiang	chang_jiang.n.01
chinese_wall	chinese_wall.n.01
chongqing	chongqing.n.01
dalian	dalian.n.01
gan_jiang	gan_jiang.n.01
gansu	gansu.n.01
lanzhou	lanzhou.n.01
gobi	gobi.n.01
grand_canal	grand_canal.n.02
guangzhou	guangzhou.n.01
hangzhou	hangzhou.n.01
hebei	hebei.n.01
hong_kong	hong_kong.n.01
huang_he	huang_he.n.01
hunan	hunan.n.01
inner_mongolia	inner_mongolia.n.01
hohhot	hohhot.n.01
kunlun	kunlun.n.01
muztag	muztag.n.01
ulugh_muztagh	ulugh_muztagh.n.01
liaodong_peninsula	liaodong_peninsula.n.01
luda	luda.n.01
dalian	dalian.n.01
lushun	lushun.n.01
luoyang	luoyang.n.01
lushun	lushun.n.01
manchuria	manchuria.n.01
mekong	mekong.n.01
